user,timeTalkedInMinutes,total
1112958,2258.266667,70359
1368598,71058.96667,5968087.16
1416863,69.9,108059
1637269,6670.183333,87143.62
2015546,9300.733333,194999
2203327,14914.46667,697510
2485855,23142.23333,1767560.63
2657613,12819.8,461425.24
2711226,57835.81667,4224268.93
2916217,7869.5,160008
3047771,3604.9,194636.91
3107363,9309.116667,167014
3220110,50766.88333,5159685.29
3326583,23096.5,1141315
3520220,13096.61667,432181.16
3544599,14387.63333,997574.39
3610377,3751.783333,175436
3677380,4966.183333,70579.22
3718110,8431.116667,1666737.72
3748810,10782.25,274062
3866415,21328.48333,1318356.61
3872843,12629.93333,317115
4226609,5642.683333,44899
4404223,17114.48333,271162.29
4512675,7373.9,43916
4646811,2869.716667,103728.9
4713006,40254.15,2169812.85
4854762,165.45,0
5136817,2982.033333,69394
5209932,12176.1,586610.37
5405755,11541.8,819920.38
5590997,38718.28333,11235271.65
5613160,20216.83333,339026.12
5739731,5417.433333,16674
6001327,8230.766667,133954.78
6050958,17423.15,707905.92
6419170,48881.36667,3956192.36
6485007,2.533333333,18315
6640404,12732.01667,779287.53
6732050,5257.7,165926
6738979,7152.333333,19145
6897035,42350.65,1576656.74
6963874,22152.71667,5464758.5
7388497,12588.81667,228364.84
7496997,17853.18333,1038978
7618227,18345.7,530613
8086011,21206.9,1547965.11
8286996,54587.88333,5191728.08
8309156,7253.483333,1007338.21
8672460,40766.2,2115389.51
8751484,703.6666667,17743
8911580,14520.25,652209.74
8996200,16909.63333,711186
9313199,2235.5,3188222.56
9365465,676.4333333,827746.12
9531748,30031.36667,3043269.56
9563660,20060.01667,818672.74
9716957,476.8666667,88113.97
9745922,18581.88333,1561360.81
9777185,6045.983333,916834.61
9787509,11484.45,623704.57
9831367,10625.26667,55511
9905819,3.416666667,0
