,lead_id,notCust,Cust
0,49644,0.0,1.0
1,18292,0.0,1.0
2,5265,1.0,0.0
3,21958,1.0,0.0
4,49478,0.0,1.0
5,16241,1.0,0.0
6,18716,0.0,1.0
7,48153,0.0,1.0
8,12081,0.0,1.0
9,10332,1.0,0.0
10,34090,0.0,1.0
11,24532,1.0,0.0
12,10851,0.0,1.0
13,41329,0.0,1.0
14,10179,1.0,0.0
15,22426,0.0,1.0
16,34990,0.0,1.0
17,34571,1.0,0.0
18,33773,0.0,1.0
19,32529,1.0,0.0
20,10311,1.0,0.0
21,33538,0.0,1.0
22,17039,0.0,1.0
23,1423,1.0,0.0
24,10254,1.0,0.0
25,30046,0.0,1.0
26,9909,0.0,1.0
27,25678,0.0,1.0
28,25517,0.0,1.0
29,12922,1.0,0.0
30,12559,0.0,1.0
31,874,0.0,1.0
32,1318,1.0,0.0
33,8302,1.0,0.0
34,24771,0.0,1.0
35,15772,0.0,1.0
36,27116,0.0,1.0
37,17064,1.0,0.0
38,11799,1.0,0.0
39,16436,0.0,1.0
40,24890,0.0,1.0
41,28807,0.0,1.0
42,32304,1.0,0.0
43,18581,1.0,0.0
44,22037,0.0,1.0
45,35288,0.0,1.0
46,37169,1.0,0.0
47,8805,1.0,0.0
48,39373,0.0,1.0
49,24264,1.0,0.0
50,33120,1.0,0.0
51,44130,0.0,1.0
52,26226,0.0,1.0
53,33916,1.0,0.0
54,41581,0.0,1.0
55,9356,0.0,1.0
56,41620,0.0,1.0
57,9337,1.0,0.0
58,7376,0.0,1.0
59,29962,0.0,1.0
60,6062,1.0,0.0
61,1351,1.0,0.0
62,11893,0.0,1.0
63,30906,0.0,1.0
64,26922,0.0,1.0
65,11908,1.0,0.0
66,6271,0.0,1.0
67,21925,0.0,1.0
68,7629,0.0,1.0
69,14109,1.0,0.0
70,13138,0.0,1.0
71,12637,1.0,0.0
72,4484,0.0,1.0
73,1654,1.0,0.0
74,3416,1.0,0.0
75,53020,1.0,0.0
76,19632,1.0,0.0
77,24993,0.0,1.0
78,19623,1.0,0.0
79,23043,0.0,1.0
80,39826,0.0,1.0
81,37223,0.0,1.0
82,8858,1.0,0.0
83,6846,1.0,0.0
84,38983,0.0,1.0
85,8477,1.0,0.0
86,19571,1.0,0.0
87,18467,1.0,0.0
88,8235,0.0,1.0
89,16868,1.0,0.0
90,11331,1.0,0.0
91,48159,0.0,1.0
92,2627,0.0,1.0
93,15897,0.0,1.0
94,29211,0.0,1.0
95,18860,0.0,1.0
96,46787,1.0,0.0
97,19775,1.0,0.0
98,42992,1.0,0.0
99,440,1.0,0.0
100,40311,1.0,0.0
101,23238,0.0,1.0
102,40212,0.0,1.0
103,28437,0.0,1.0
104,45069,1.0,0.0
105,16575,1.0,0.0
106,9517,1.0,0.0
107,22723,0.0,1.0
108,44300,0.0,1.0
109,49218,1.0,0.0
110,13593,1.0,0.0
111,715,1.0,0.0
112,19030,0.0,1.0
113,38914,0.0,1.0
114,26191,0.0,1.0
115,22037,0.0,1.0
116,27649,1.0,0.0
117,5394,0.0,1.0
118,1695,0.0,1.0
119,22727,0.0,1.0
120,26389,1.0,0.0
121,30906,0.0,1.0
122,40185,1.0,0.0
123,17441,0.0,1.0
124,1804,0.0,1.0
125,19006,0.0,1.0
126,27249,0.0,1.0
127,49860,0.0,1.0
128,33369,1.0,0.0
129,14448,0.0,1.0
130,4229,0.0,1.0
131,30210,1.0,0.0
132,25838,0.0,1.0
133,5078,1.0,0.0
134,35612,0.0,1.0
135,38977,1.0,0.0
136,18417,0.0,1.0
137,1849,1.0,0.0
138,16030,0.0,1.0
139,33907,0.0,1.0
140,25646,0.0,1.0
141,24468,1.0,0.0
142,31390,0.0,1.0
143,30245,0.0,1.0
144,6185,1.0,0.0
145,18033,0.0,1.0
146,23238,0.0,1.0
147,37955,0.0,1.0
148,49780,1.0,0.0
149,13260,0.0,1.0
150,41888,1.0,0.0
151,33876,0.0,1.0
152,7402,0.0,1.0
153,7126,1.0,0.0
